Time (ms),Lower,LowerPwr,Upper,UpperPwr,Thought,ThoughtPwr,Blink,LWink,RWink,LLook,RLook,GyroX,GyroY
238301230,,,,,,,,,,,,0,0
238301230,,,,,,,,,,,,0,0
238301230,,,,,,,,,,,,0,0
238301230,,,,,,,,,,,,0,0
238301230,,,,,,,,,,,,0,0
238301230,,,,,,,,,,,,0,0
238301230,,,,,,,,,,,,0,0
238301230,,,,,,,,,,,,0,0
238301230,,,,,,,,,,,,0,0
238301246,,,,,,,,,,,,0,0
238301246,,,,,,,,,,,,0,0
238301246,,,,,,,,,,,,0,0
238301246,,,,,,,,,,,,0,0
238301246,,,,,,,,,,,,0,0
238301246,,,,,,,,,,,,0,0
238301246,,,,,,,,,,,,0,0
238301246,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301261,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301277,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301292,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301308,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301324,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301339,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301355,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301370,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
238301386,,,,,,,,,,,,0,0
